image_id,caption
HMT1,"This is a painted religious icon depicting two figures, likely Jesus and Mary, with halos. They are shown in traditional iconographic style with hands placed over their hearts, which feature a sunburst design with a heart and a cross. The figures are surrounded by a floral background. The icon is framed with a decorative wooden border featuring geometric patterns. Text in Ukrainian is visible on the lower left, and a watermark is present in the lower right. The painting appears to be in good condition with no visible damage."
HMT2,"An icon of a bearded man in a red crown and red robes, holding a book. The icon is in a heavily ornate, dark gold frame with visible damage, including a hole in the background and a small clock face on the left. There are two smaller figures in the background: one on the left and one on the right. Text in Cyrillic is visible at the bottom left and right."
KSU1,"A portrait of a man in traditional attire, including a white fur hat, a white embroidered shirt with a red ribbon, a dark cloak, and green trousers. He stands in a forested area with trees and a dirt path. The painting has visible signs of age and damage, particularly on the right side. There is text in the lower right corner: ""Сушия"" and ""колекція Ір. Брус 1929""."
KSU10,"A painted portrait of a balding man with a grey mustache, wearing a blue coat over a red vest and white shirt. The background is a textured blue. Text at the bottom reads ""Увійтеся брати мої, Т.Г. Шевченко. думайте читайте! 1861."" and ""Сушиця колекція 1814."" The painting shows signs of age and wear."
KSU11,"A painting depicts a rustic cottage with a thatched roof, illuminated by a warm light from its windows, situated on a small island or peninsula. The cottage is surrounded by a body of water, with a small boat resting on the shore. The sky is dark and cloudy, with a bright moon visible. Tall trees stand behind the cottage. The foreground shows a rocky shore with scattered stones and a few yellow flowers. The painting has a textured, impressionistic style. A watermark in the lower-left corner reads ""Сушия колекція""."
KSU12,"A painting of a rural village at dusk. Three houses with thatched roofs and white walls with blue trim are visible. A dirt path leads between them, with a wooden fence in the foreground. The background features trees, including tall cypress trees, and a sky with pink and purple hues. There is a watermark in the lower-left corner that reads ""Сушия КОЛЕКЦІЯ"". The painting appears to be on canvas with visible texture."
KSU13,"A painting depicts a woman in traditional folk attire standing by a wooden well. She holds a bucket and is wearing a white blouse with red embroidery, a dark blue bodice, and a patterned skirt. The setting is a rural landscape with green hills, a dirt path, and trees with yellow blossoms. The sky is partly cloudy. A watermark ""Сушия колекция"" is visible in the lower-left corner. The painting shows signs of age and wear."
KSU14,"A painted wooden panel depicting a winter scene. A person in a red hat sits in a sled pulled by a horse, moving along a snow-covered path. In the background are several snow-covered houses and a church with multiple domes. Trees are covered in snow. A small dog runs on the snow. The scene is set in a village in a forested area. The painting has a dark, weathered frame. There is text in the lower-left corner: ""Сулиця колекція""."
KSU15,"A painting of a snow-covered rural scene. A small, round, thatched-roof house with a chimney emitting smoke is the central focus. The house has a yellow wall and a dark roof. A snow-covered path leads from the foreground to the house. The ground is covered in snow, with tracks visible. A wooden fence is in the foreground on the right. The background shows a distant landscape with trees and other houses. The sky is overcast and grey. There is a watermark in the bottom right corner that reads ""Сушия"" and ""Колекция""."
KSU16,"This is a painting of a Russian Orthodox church complex with white walls and green domes topped with golden crosses. A tall bell tower is visible on the right. The scene is set in a rural landscape with a dirt field, a wooden fence, and two figures standing on a grassy hill in the foreground. There are trees and a small white building in front of the church. The sky is overcast with clouds. The painting has a textured surface and a watermark in the lower right corner that reads ""Сушица колекция""."
KSU17,"A still life painting featuring a large, sliced watermelon on a plate, a bowl of green cucumbers, a bunch of green grapes, a cluster of dark grapes, several green apples, a bottle of wine with a blue label, and a vase with flowers. A small orange pumpkin is on the right. The background is dark. There is a watermark in the bottom right corner that reads ""Сушия колекция"". The painting appears to be on canvas with visible brushstrokes."
KSU18,"This is a painted scene of a village with a prominent church in the center. The church has white walls, blue and green domes, and crosses. It is surrounded by trees and small houses with red and green roofs. A white fence runs along the path. Two groups of people are walking on the path. The painting has a wooden frame. There is text in the lower left corner that says ""Сушия"" and ""колекция"". The painting shows signs of age and wear."
KSU19,"A painting depicts a man in a dark blue military uniform and a black hat, riding a white horse with a red saddle. A woman in a red and blue embroidered dress stands beside him, holding a small wooden bucket. In the background, there are houses, a windmill, trees, and a cloudy sky. The scene is set in a rural landscape. There is text at the bottom in Ukrainian: ""Дівчино Моя, на піжке коня, срубленої нової кріпниці, споного відра!"" and a watermark ""Сушия колекція"" in the lower left corner. The painting shows visible signs of age and wear."
KSU2,"A painting depicts a man in traditional attire sitting on a grassy field, with two cows and a cart nearby. The cart is loaded with a large bundle of hay or straw. The man is looking up at the sky, which is blue with white clouds and filled with numerous black birds. The scene is set in a wide, open field with green grass and small wildflowers. There is a watermark in the bottom right corner that reads ""Сушия КОЛЕКЦИЯ"". The painting appears to be on canvas and shows some signs of age and wear."
KSU20,"This is an oil painting on canvas depicting a still life scene. In the foreground, a large watermelon is cut in half, with a slice on the left and the other half on the right. A bowl holds several slices of watermelon. To the right, a basket contains various fruits including pears, grapes, and a leafy plant. The background shows a landscape with green fields, trees, and a blue sky with clouds. The painting has visible cracks and damage. There is a watermark in the lower left corner that reads ""Сушия колекция""."
KSU21,"This is an oil painting depicting a rural landscape. In the foreground, a man in a white shirt and trousers stands in a plowed field, holding a bundle. To his right, two oxen are harnessed to a plow. In the mid-ground, other figures are working in the field, and a cart is visible. In the background, there are several houses with thatched roofs, trees, and tall, slender trees. The sky is pale and overcast. The painting shows signs of age, including cracks and wear. There is a watermark in the lower-left corner that reads ""Сушия колекція""."
KSU22,"A portrait of a woman in traditional attire, including a dark vest and a white blouse with floral embroidery. She wears a multi-layered necklace with red, orange, and white beads. The background is a landscape with trees and a field. The painting is dated 1931 in the upper right corner. The artist's signature ""Сушия"" and ""Колекция"" are visible in the lower left. The painting shows significant cracking and peeling paint, indicating age and damage."
KSU23,"A portrait of a man with a mustache and a dark, fur-lined hat, wearing a dark coat over a brown shirt. The background is a textured, dark brown. The painting has visible signs of age and wear, including cracks and a rough texture. There is a watermark in the lower-left corner that reads ""Сулиця КОЛЕКЦІЯ"" in a stylized font."
